Date,US,US,Euro Area,Euro Area,Japan,Japan,UK,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,US,Euro Area,Japan,UK
Date,Interest Rate,Inflation,Interest Rate,Inflation,Interest Rate,Inflation,Interest Rate,Value,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,BoT % growth MoM,BoT % growth MoM,BoT % growth MoM,BoT % growth MoM,BoT % growth YoY,BoT % growth YoY,BoT % growth YoY,BoT % growth YoY,GDP USD,GDP Euro,GDP Yen,GDP Pound,GDP % growth MoM,GDP % growth MoM,GDP % growth MoM,GDP % growth MoM,GDP % growth YoY,GDP % growth YoY,GDP % growth YoY,GDP % growth YoY,UNRATE,FD-GDP%,FD-GDP%,FD-GDP%,FD-GDP%
2025-09-06, 3.38 , 125.70 , 2.40 , 129.21 , 0.35 ,107.4281482, 3.50 ,138.0034903, (73), 17 , (2.7), (4),-5%,-3%,34%,-11%,5%,78%,-17%,139%," 23,834 "," 2,863,350 "," 562,943 "," 584,637 ",0.17%,0.11%,0.08%,0.07%,1.75%,1.17%,0.76%,1.12%,4.4,-0.51%,-0.23%,-0.30%,-0.24%
2025-10-07, 3.38 , 125.92 , 2.15 , 129.45 , 0.35 ,107.4683509, 3.50 ,138.2539809, (68), 18 , 1 , (3),-7%,3%,-137%,-16%,-3%,21%,-113%,10%," 23,874 "," 2,866,433 "," 563,410 "," 585,074 ",0.17%,0.11%,0.08%,0.07%,1.83%,1.21%,0.84%,1.05%,4.4,-0.51%,-0.23%,-0.30%,-0.24%
2025-11-07, 3.38 , 126.15 , 2.15 , 129.68 , 0.35 ,107.5085687, 3.50 ,138.5049261, (72), 21 , (1), (3),6%,17%,-200%,0%,3%,6%,-92%,-24%," 23,913 "," 2,869,520 "," 563,877 "," 585,511 ",0.17%,0.11%,0.08%,0.07%,1.92%,1.26%,0.92%,0.97%,4.4,-0.51%,-0.23%,-0.30%,-0.24%
2025-12-08, 3.38 , 126.38 , 2.15 , 129.92 , 0.35 ,107.5488015, 3.50 ,138.7563268, (68), 24 , 1 , (2),-6%,14%,-234%,-25%,0%,0%,0%,0%," 23,953 "," 2,872,611 "," 564,345 "," 585,948 ",0.17%,0.11%,0.08%,0.07%,2.00%,1.30%,1.00%,0.90%,4.4,-0.51%,-0.23%,-0.30%,-0.24%
2026-01-08, 3.38 , 126.59 , 2.15 , 130.12 , 0.45 ,107.6024286, 3.50 ,138.9399922, (79), 27 , 1 , (2),16%,12%,-25%,-11%,0%,0%,0%,0%," 23,992 "," 2,876,177 "," 564,813 "," 586,675 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.32%,1.00%,0.95%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-02-08, 3.13 , 126.80 , 2.15 , 130.33 , 0.45 ,107.6560824, 3.50 ,139.1239007, (69), 27 , 1 , (2),-13%,0%,0%,0%,0%,0%,0%,0%," 24,032 "," 2,879,748 "," 565,281 "," 587,404 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.33%,1.00%,1.00%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-03-11, 3.13 , 127.01 , 2.15 , 130.53 , 0.45 ,107.709763, 3.50 ,139.3080527, (80), 28 , 1 , (2),16%,5%,-33%,19%,0%,0%,0%,0%," 24,072 "," 2,883,323 "," 565,750 "," 588,133 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.35%,1.00%,1.05%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-04-11, 2.88 , 127.22 , 2.15 , 130.73 , 0.45 ,107.7634703, 3.50 ,139.4924484, (84), 20 , (2), (4),5%,-30%,-398%,69%,0%,0%,0%,0%," 24,111 "," 2,886,902 "," 566,220 "," 588,863 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.37%,1.00%,1.10%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-05-12, 2.88 , 127.43 , 2.15 , 130.94 , 0.45 ,107.8172045, 3.50 ,139.6770882, (81), 27 , (1), (3),-4%,35%,-50%,-25%,0%,0%,0%,0%," 24,151 "," 2,890,486 "," 566,689 "," 589,594 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.38%,1.00%,1.15%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-06-12, 2.88 , 127.64 , 2.15 , 131.15 , 0.55 ,107.8709654, 3.50 ,139.8619724, (84), 17 , (3), (5),4%,-35%,168%,80%,0%,0%,0%,0%," 24,191 "," 2,894,075 "," 567,159 "," 590,326 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.40%,1.00%,1.20%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-07-13, 2.88 , 127.85 , 2.15 , 131.35 , 0.55 ,107.9247531, 3.50 ,140.0471013, (75), 18 , (2), (4),-11%,3%,-25%,-26%,0%,0%,0%,0%," 24,231 "," 2,897,668 "," 567,630 "," 591,059 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.42%,1.00%,1.25%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-08-13, 2.88 , 128.06 , 2.15 , 131.56 , 0.55 ,107.9785677, 3.50 ,140.2324752, (77), 18 , (2), (4),3%,0%,0%,0%,0%,0%,0%,0%," 24,271 "," 2,901,265 "," 568,101 "," 591,793 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.43%,1.00%,1.30%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-09-13, 2.88 , 128.27 , 2.00 , 131.76 , 0.55 ,108.032409, 3.50 ,140.4180946, (73), 17 , (3), (4),-5%,-3%,34%,-11%,0%,0%,0%,0%," 24,311 "," 2,904,867 "," 568,572 "," 592,528 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.45%,1.00%,1.35%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-10-14, 2.88 , 128.49 , 2.00 , 131.97 , 0.55 ,108.0862773, 3.50 ,140.6039596, (68), 18 , 1 , (3),-7%,3%,-137%,-16%,0%,0%,0%,0%," 24,351 "," 2,908,474 "," 569,044 "," 593,263 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.47%,1.00%,1.40%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-11-14, 2.88 , 128.70 , 2.00 , 132.18 , 0.55 ,108.1401723, 3.50 ,140.7900706, (72), 21 , (1), (3),6%,17%,-200%,0%,0%,0%,0%,0%," 24,391 "," 2,912,084 "," 569,516 "," 594,000 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.48%,1.00%,1.45%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
2026-12-15, 2.88 , 128.91 , 2.00 , 132.39 , 0.55 ,108.1940943, 3.50 ,140.976428, (68), 24 , 1 , (2),-6%,14%,-234%,-25%,0%,0%,0%,0%," 24,432 "," 2,915,700 "," 569,988 "," 594,737 ",0.17%,0.12%,0.08%,0.12%,2.00%,1.50%,1.00%,1.50%,4.3,-0.50%,-0.24%,-0.29%,-0.20%
